npi,first_name,last_name,credential,specialty_code,specialty_label,org_key,org_name,role,effective_date,status
KHS-P00190,Ahmed,Patel,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00191,Raj,Silva,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00192,Michael,Haddad,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00193,Chen,Smith,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00194,Wei,Mwangi,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00195,Sofia,Kowalski,PA,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00196,Sofia,Williams,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00197,Susan,Novak,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00198,Grace,Andersson,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00199,Diego,Jones,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00200,Grace,Dubois,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00201,Mary,Kim,PA,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00202,Nina,Dubois,PA,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00203,Robert,Costa,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00204,Richard,Okafor,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00205,Chen,Andersson,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00206,Robert,Davis,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00207,Richard,Williams,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00208,William,Haddad,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00209,Elizabeth,Costa,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00210,Mary,Johnson,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00211,Michael,Patel,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00212,Wei,Ali,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00213,Sofia,Jones,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00214,Hassan,Garcia,PA,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00215,William,Davis,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00216,Patricia,Davis,MD,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00217,Patricia,Tan,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00218,Nina,Williams,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00219,Jennifer,Silva,PA,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00220,Sofia,Smith,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00221,Sofia,Ivanov,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00222,Jessica,Miller,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00223,Raj,Johnson,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00224,Sofia,Smith,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00225,Patricia,Silva,NP,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00226,Susan,Dubois,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00227,Raj,Haddad,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00228,Mary,Smith,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00229,Jessica,Okafor,DO,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00230,Priya,Haddad,PA,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00231,Nina,Chen,PA,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00232,James,Mwangi,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00233,Omar,Haddad,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00234,Chen,Ali,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00235,Diego,Miller,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00236,Sofia,Costa,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00237,David,Smith,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00238,Hassan,Chen,PA,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00239,Omar,Costa,DO,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00240,Grace,Rossi,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00241,Sarah,Mwangi,DO,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00242,Wei,Haddad,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00243,Priya,Garcia,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00244,Nina,Tan,DO,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00245,Mary,Okafor,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00246,Chen,Costa,NP,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00247,Chen,Martinez,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00248,Robert,Patel,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00249,David,Tan,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00250,Jennifer,Kim,PA,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00251,Mary,Brown,PA,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00252,Patricia,Johnson,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00253,John,Ivanov,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00254,James,Reyes,DO,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00255,Aisha,Ivanov,MD,RAD,Radiology,KHS-IMG,Keystone Imaging Center,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00256,Diego,Garcia,NP,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00257,Patricia,Kim,NP,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00258,Mary,Chen,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00259,Michael,Rossi,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00260,David,Costa,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00261,Sofia,Andersson,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00262,Sarah,Kowalski,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00263,Nina,Haddad,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00264,Richard,Jones,DO,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00265,Sofia,Nguyen,PA,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00266,Omar,Rossi,PA,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00267,Raj,Nguyen,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00268,James,Miller,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00269,Hassan,Nguyen,DO,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00270,Ahmed,Ali,PA,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00271,Raj,Brown,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00272,Omar,Costa,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00273,Michael,Rossi,DO,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00274,Linda,Silva,DO,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00275,Patricia,Johnson,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00276,Ahmed,Nguyen,DO,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00277,Sofia,Mwangi,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00278,Nina,Dubois,PA,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00279,Susan,Johnson,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00280,Raj,Smith,NP,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00281,Chen,Haddad,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00282,Chen,Dubois,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00283,Susan,Kim,NP,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00284,Priya,Okafor,DO,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00285,William,Kim,DO,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00286,Diego,Rodriguez,PA,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00287,Sofia,Andersson,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00288,Elizabeth,Haddad,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00289,Susan,Smith,MD,PSYCH,Psychiatry,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00290,Linda,Martinez,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00291,Priya,Silva,NP,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00292,William,Haddad,MD,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00293,Robert,Jones,DO,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00294,Sofia,Davis,NP,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00295,Jessica,Rodriguez,PA,PSY,Psychology,KHS-BH,Keystone Behavioral Health,EMPLOYEE,2023-01-01,ACTIVE
